x	y	showSelected	tooltip	group
0.0454545454545455	0.138489418289875	Chr01	Overall Density	1
0.0472389058766504	0.155507613186034	Chr01	Overall Density	1
0.0490232662987554	0.173484642803173	Chr01	Overall Density	1
0.0508076267208603	0.192114713549403	Chr01	Overall Density	1
0.0525919871429653	0.21096522166136	Chr01	Overall Density	1
0.0543763475650702	0.229440638012634	Chr01	Overall Density	1
0.0561607079871752	0.246780599566701	Chr01	Overall Density	1
0.0579450684092801	0.262109459196718	Chr01	Overall Density	1
0.0597294288313851	0.274539638277366	Chr01	Overall Density	1
0.06151378925349	0.283311900789181	Chr01	Overall Density	1
0.063298149675595	0.287939067974889	Chr01	Overall Density	1
0.0650825100976999	0.288310602487619	Chr01	Overall Density	1
0.0668668705198049	0.284561829828963	Chr01	Overall Density	1
0.0686512309419098	0.277654538279943	Chr01	Overall Density	1
0.0704355913640148	0.268530933372326	Chr01	Overall Density	1
0.0722199517861197	0.258206656827846	Chr01	Overall Density	1
0.0740043122082247	0.2476577451691	Chr01	Overall Density	1
0.0757886726303296	0.237763966650256	Chr01	Overall Density	1
0.0775730330524346	0.229310409148869	Chr01	Overall Density	1
0.0793573934745395	0.223024438843148	Chr01	Overall Density	1
0.0811417538966445	0.219609596342729	Chr01	Overall Density	1
0.0829261143187494	0.219737159806993	Chr01	Overall Density	1
0.0847104747408544	0.223970654800368	Chr01	Overall Density	1
0.0864948351629593	0.232624382201419	Chr01	Overall Density	1
0.0882791955850643	0.24558631814299	Chr01	Overall Density	1
0.0900635560071692	0.262159160791171	Chr01	Overall Density	1
0.0918479164292742	0.28098232780456	Chr01	Overall Density	1
0.0936322768513791	0.300087116617694	Chr01	Overall Density	1
0.0954166372734841	0.317107150570691	Chr01	Overall Density	1
0.097200997695589	0.329623114129871	Chr01	Overall Density	1
0.098985358117694	0.335576681781248	Chr01	Overall Density	1
0.100769718539799	0.333597218035922	Chr01	Overall Density	1
0.102554078961904	0.323113061912125	Chr01	Overall Density	1
0.104338439384009	0.305449890151433	Chr01	Overall Density	1
0.106122799806114	0.282384391484378	Chr01	Overall Density	1
0.107907160228219	0.256166326933897	Chr01	Overall Density	1
0.109691520650324	0.229114760710121	Chr01	Overall Density	1
