x	y	label	clickSelects	showSelected2	showSelected
0.496897732247098	0.825869508621333	4J105-3-4	4J105-3-4	Chr01	4J105-3-4
0.714589703743902	0.798339128743512	5601T	5601T	Chr01	5601T
0.784179760205995	0.911079574702554	5M20-2-5-2	5M20-2-5-2	Chr01	5M20-2-5-2
0.677118134879698	0.659205525268145	A3127	A3127	Chr01	A3127
0.712805343321797	0.734330889986348	Adams	Adams	Chr01	Adams
0.714589703743902	0.792469042389779	A.K. (Harrow)	A.K. (Harrow)	Chr01	A.K. (Harrow)
0.714589703743902	0.784850574600224	Amcor	Amcor	Chr01	Amcor
0.712805343321797	0.784064472927962	Amsoy	Amsoy	Chr01	Amsoy
0.712805343321797	0.785887953251614	Anderson	Anderson	Chr01	Anderson
0.677118134879698	0.679413560627054	Beeson	Beeson	Chr01	Beeson
0.714589703743902	0.799683601089625	Blackhawk	Blackhawk	Chr01	Blackhawk
0.0829261143187494	0.86304708201042	Bonus	Bonus	Chr01	Bonus
0.673549414035488	0.748805850055134	Bragg	Bragg	Chr01	Bragg
0.673549414035488	0.730720276627313	Braxton	Braxton	Chr01	Braxton
0.671765053613383	0.763832654870624	Brim	Brim	Chr01	Brim
0.479054128026048	0.315245004208453	Calland	Calland	Chr01	Calland
0.462994884227104	0.798225540886715	Capital	Capital	Chr01	Capital
0.675333774457593	0.695902627362096	Centennial	Centennial	Chr01	Centennial
0.866260339622822	0.855264326343287	Chippewa	Chippewa	Chr01	Chippewa
0.714589703743902	0.807639780905884	CL0J095-4-6	CL0J095-4-6	Chr01	CL0J095-4-6
0.116828962338743	0.792812811567973	CL0J173-6-8	CL0J173-6-8	Chr01	CL0J173-6-8
0.755629993452316	0.848964383592033	Clark	Clark	Chr01	Clark
0.914438071019656	0.812525304995737	Clemson	Clemson	Chr01	Clemson
0.673549414035488	0.731566351221564	CNS	CNS	Chr01	CNS
0.673549414035488	0.729195254001217	Cook	Cook	Chr01	Cook
0.716374064166007	0.820566489425367	Corsoy	Corsoy	Chr01	Corsoy
0.76098307471863	0.813573905744772	Cumberland	Cumberland	Chr01	Cumberland
0.816298247803884	0.332101868346147	Davis	Davis	Chr01	Davis
0.673549414035488	0.741800938590737	Dillon	Dillon	Chr01	Dillon
0.712805343321797	0.765806076702383	Dorman	Dorman	Chr01	Dorman
0.862691618778613	0.854611164406383	Douglas	Douglas	Chr01	Douglas
0.714589703743902	0.809155661342965	Dunfield	Dunfield	Chr01	Dunfield
0.0847104747408544	0.858630871589512	Essex	Essex	Chr01	Essex
0.835926212447038	0.826581791007728	Ford	Ford	Chr01	Ford
0.673549414035488	0.753090495706025	Forrest	Forrest	Chr01	Forrest
0.673549414035488	0.735139287884956	Gasoy 17	Gasoy 17	Chr01	Gasoy 17
0.671765053613383	0.793497106305068	Haberlandt	Haberlandt	Chr01	Haberlandt
0.864475979200718	0.80721711940358	Hagood	Hagood	Chr01	Hagood
0.714589703743902	0.813249933961008	Harcor	Harcor	Chr01	Harcor
0.0829261143187494	0.824212346341604	Harosoy	Harosoy	Chr01	Harosoy
0.835926212447038	0.829154451806208	Hawkeye	Hawkeye	Chr01	Hawkeye
0.673549414035488	0.738415067488123	Hill	Hill	Chr01	Hill
0.673549414035488	0.716755685843787	Holladay	Holladay	Chr01	Holladay
0.673549414035488	0.732163541559569	Hood	Hood	Chr01	Hood
0.896594466798607	0.836256569275581	HS6-3976	HS6-3976	Chr01	HS6-3976
0.714589703743902	0.790785243969767	Hutcheson	Hutcheson	Chr01	Hutcheson
0.76455179556284	0.842793979481294	IA3023	IA3023	Chr01	IA3023
0.714589703743902	0.788722514993191	Illini	Illini	Chr01	Illini
0.712805343321797	0.776037096162849	Jackson	Jackson	Chr01	Jackson
0.479054128026048	0.264077089367282	Kanro	Kanro	Chr01	Kanro
0.702099180789167	0.231674680556379	Kent	Kent	Chr01	Kent
0.673549414035488	0.770214942906856	Lawrence	Lawrence	Chr01	Lawrence
0.903731908487026	0.83707009009396	LD00-3309	LD00-3309	Chr01	LD00-3309
0.900163187642817	0.842133297781707	LD01-5907	LD01-5907	Chr01	LD01-5907
0.901947548064921	0.840206477491394	LD02-4485	LD02-4485	Chr01	LD02-4485
0.909084989753341	0.826284660105061	LD02-9050	LD02-9050	Chr01	LD02-9050
0.859122897934403	0.823160836820056	Lee	Lee	Chr01	Lee
0.868044700044927	0.845137943049668	LG00-3372	LG00-3372	Chr01	LG00-3372
0.673549414035488	0.737890278736963	LG03-2979	LG03-2979	Chr01	LG03-2979
0.868044700044927	0.844446318749978	LG03-3191	LG03-3191	Chr01	LG03-3191
0.896594466798607	0.834164460727303	LG04-4717	LG04-4717	Chr01	LG04-4717
0.903731908487026	0.838475232348757	LG04-6000	LG04-6000	Chr01	LG04-6000
0.712805343321797	0.746959081311263	LG05-4292	LG05-4292	Chr01	LG05-4292
0.675333774457593	0.700055029985046	LG05-4317	LG05-4317	Chr01	LG05-4317
0.835926212447038	0.810632349060438	LG05-4464	LG05-4464	Chr01	LG05-4464
0.903731908487026	0.837550167847854	LG05-4832	LG05-4832	Chr01	LG05-4832
0.900163187642817	0.842156918769481	LG90-2550	LG90-2550	Chr01	LG90-2550
0.898378827220711	0.793613957788081	LG92-1255	LG92-1255	Chr01	LG92-1255
0.900163187642817	0.841774296737745	LG94-1128	LG94-1128	Chr01	LG94-1128
0.900163187642817	0.841485458916262	LG94-1906	LG94-1906	Chr01	LG94-1906
0.693177378678642	0.156066804114654	LG97-7012	LG97-7012	Chr01	LG97-7012
0.903731908487026	0.836780985884102	LG98-1605	LG98-1605	Chr01	LG98-1605
0.712805343321797	0.745021018671451	Lincoln	Lincoln	Chr01	Lincoln
0.909084989753341	0.825978978922571	Magellan	Magellan	Chr01	Magellan
0.744923830919686	0.865042526269757	Mandarin	Mandarin	Chr01	Mandarin
0.903731908487026	0.838321843455285	Maverick	Maverick	Chr01	Maverick
0.677118134879698	0.666383539412483	Merit	Merit	Chr01	Merit
0.714589703743902	0.801771713269935	Mukden	Mukden	Chr01	Mukden
0.712805343321797	0.781538891988533	NC Raleigh	NC Raleigh	Chr01	NC Raleigh
